XID,RERA,Project Name,Location City,Location State, Location Locality
r346899,PRGO12191009,Amor De Goa,North Goa,Goa,Candolim
r439018,P03290152746,Edara Twilight Park,Visakhapatnam,Andhra Pradesh,Shivaji Palem
r440098,PRM/KA/RERA/1251/472/PR/220424/006824,Sri Rama Enclave,Bangalore,Karnataka,Vidyaranyapura
r440721,TN/35/Building/0063/2025,Casagrand Sun City Phase 2,Chennai,Tamil Nadu,Kelambakkam
r438476,RAJ/P/2025/3460,Parshvanath Shivala,Jaipur,Rajasthan,Ajmer Road
r389479,P52100034429,Jagdish Kulkarni Wada,Pune,Maharashtra,Sadashiv Peth
r438439,RAJ/P/2024/3442,The Altitude,Jaipur,Rajasthan,Jagatpura
r424292,MP/19/2024/01120,Utkal Isquare,Bhubaneswar,Orissa,Patia
r427184,P51700056016,Precious Empire,Mumbai,Maharashtra,Ambernath East
r437801,P51800078445,Signature by Mangal,Mumbai,Maharashtra,Vile Parle East
r440928,TN/29/Building/0065/2025,KCS Golden Lotus,Chennai,Tamil Nadu,Sholinganallur
r405001,PR/GJ/SURAT/CHORASI/SUDA/MAA11387/040323,Siddhi Vinayak Elements,Surat,Gujarat,Jahangirabad
r422460,TN/16/Layout/0656/2024,Royal Radiant,Trichy,Tamil Nadu,Uyyakondan Thirumalai
r409035,,Faridabad Luxury Builder Floors,Delhi NCR,Haryana,Greenfield Colony
r428909,PR/GJ/VADODARA/VADODARA/VadodaraMunicipalCorporation/RAA13649/100624/010528,Shree Siddheshwar Hamilton,Vadodara,Gujarat,Bhayli
r383453,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA09403/021221,Alok One 35,Ahmedabad,Gujarat,Shilaj
r439426,PRM/KA/RERA/1251/446/PR/060225/007487,Birla Evara,Bangalore,Karnataka,Sarjapur Road
r410145,PRM/KA/RERA/1251/310/PR/140223/005715,Mahaveer Hillstone,Bangalore,Karnataka,Mylasandra
r430239,GGM/921/653/2025/24DATED04.03.2025,Trinity Sky Palazzo Residences,Delhi NCR,Haryana,Sector 88B
r439272,P50500078919,Royal Dream City 2,Nagpur,Maharashtra,Manish Nagar
r438260,,K S Luxury Homes,Delhi NCR,India,Greater Kailash 2
r429913,WBRERA/P/DAR/2024/001701,Panchnai Sanskritam,Siliguri,West Bengal,Matigara
r430517,RAJ/P/2024/3144,Mahal Niwas,Jaipur,Rajasthan,Jagatpura
r380529,TN/11/Building/0266/2021,Green Field Bougainvillea Apartment,Coimbatore,Tamil Nadu,Vilankurichi
r421844,P50500054272,Atharva Sapphire,Nagpur,Maharashtra,Wardha Road
r375777,K-RERA/PRJ/111/2021,Palal The Mateo,Kochi,Kerala,Kakkanad
r405183,UPRERAPRJ782215,Rudra Solitaire,Kanpur,Uttar Pradesh,Mainawati Marg
